词形,词性,褒贬色彩,感情特点,近义词,
盲目,形容词,贬义,批评,盲从,
盲人摸象,成语,贬义,批评,,
盲人瞎马,成语,贬义,批评,,
毛病,名词,贬义,批评,弊病/缺点,
茂盛,形容词,褒义,赞扬,繁茂/旺盛,
冒充,动词,贬义,贬责,假冒,
冒牌,动词,贬义,贬责,假冒,
冒失,形容词,贬义,批评,鲁莽/莽撞,
貌合神离,成语,贬义,批评,离心离德/同床异梦,
眉清目秀,成语,褒义,赞扬,明眸皓齿,
每况愈下,成语,贬义,批评,江河日下,
美不胜收,成语,褒义,赞扬,,
美观,形容词,褒义,赞扬,漂亮/美丽,
美好,形容词,褒义,赞扬,美满/美妙,
美化,动词,褒义,赞扬,,
美化,动词,贬义,憎恶,,
美丽,形容词,褒义,赞扬,漂亮/绚丽/高尚/美好,
美满,形容词,褒义,赞扬,美妙/圆满,
美妙,形容词,褒义,赞扬,美好,
蒙蔽,动词,贬义,贬责,蒙混/蒙哄/欺骗,
蒙混,动词,贬义,贬责,蒙蔽/蒙哄/欺骗,
勉励,动词,褒义,赞扬,鼓励/激励,
缅怀,动词,褒义,敬重,怀念/追念,
苗条,形容词,褒义,赞扬,,
敏捷,形容词,褒义,赞扬,灵敏/麻利/敏锐,
敏锐,形容词,褒义,赞扬,灵敏/敏捷,
名垂青史,成语,褒义,赞扬,名垂千古,
名列前茅,成语,褒义,赞扬,首屈一指,
名正言顺,成语,褒义,赞扬,理直气壮,
明察秋毫,成语,褒义,赞扬,,
明火执仗,成语,贬义,憎恶,明目张胆,
明媚,形容词,褒义,喜爱,明丽,
明目张胆,成语,贬义,贬责,明火执仗/肆无忌惮,
明枪暗箭,成语,贬义,憎恶,,
明争暗斗,成语,贬义,贬责,尔虞我诈/勾心斗角,
明知故犯,成语,贬义,贬责,知法犯法,
铭记,动词,褒义,敬重,牢记/铭刻,
谬论,名词,贬义,贬责,谰言,
模范,名词/形容词,褒义,赞扬,榜样/楷模/标兵/表率,
抹杀,动词,贬义,贬责,扼杀,
漠不关心,成语,贬义,批评,不闻不问/黯然置之,
漠然置之,成语,贬义,批评,漠不关心,
墨守成规,成语,贬义,批评,固步自封/一成不变/因循守旧,
牟取,动词,贬义,贬责,谋取/攫取,
谋害,动词,贬义,憎恶,谋杀,
目光短浅,成语,贬义,批评,目光如豆,
目光炯炯,成语,褒义,赞扬,,
目空一切,成语,贬义,贬责,目中无人,
目中无人,成语,贬义,贬责,目空一切/惟我独尊,
耐心,形容词/名词,褒义,赞扬,,
南辕北辙,成语,贬义,批评,背道而驰,
难能可贵,成语,褒义,赞扬,,
内幕,名词,贬义,批评,,
能干,形容词,褒义,赞扬,干练,
能手,名词,褒义,赞扬,高手/好手,
溺爱,动词,贬义,批评,宠爱/偏爱,
拈轻怕重,成语,贬义,批评,避重就轻,
年富力强,成语,褒义,喜爱,年轻力壮,
年轻力壮,成语,褒义,喜爱,身强力壮,
捏造,动词,贬义,贬责,假造/伪造,
狞笑,动词,贬义,憎恶,奸笑,
宁死不屈,成语,褒义,赞扬,坚贞不屈/宁折不弯,
弄虚作假,成语,贬义,批评,,
奴颜婢膝,成语,贬义,憎恶,卑躬屈膝/奴颜媚骨,
虐待,动词,贬义,贬责,凌虐/虐害,
挪用,动词,贬义,贬责,挪占,
懦夫,名词,贬义,批评,,
懦弱,形容词,贬义,批评,脆弱/软弱,
讴歌,动词,褒义,赞扬,称颂/歌颂/赞颂/赞扬,
呕心沥血,成语,褒义,赞扬,殚精竭虑,
扒窃,动词,贬义,憎恶,偷窃,
扒手,名词,贬义,憎恶,小偷/三只手,
拍案叫绝,成语,褒义,赞扬,交口称赞/拍手叫好/赞不绝口,
拍马屁,惯用语,贬义,憎恶,谄媚奉承/逢迎拍马/溜须拍马/吹吹拍拍,
拍手称快,成语,褒义,喜爱,大快人心/额手称庆/皆大欢喜/拍手叫好,
排挤,动词,贬义,贬责,排斥,
排山倒海,成语,褒义,赞扬,摧枯拉朽/翻天覆地/风卷残云/雷霆万钧/势不可挡,
排头兵,惯用语,褒义,赞扬,带头人,
派性,名词,贬义,批评,宗派主义,
攀登高峰,成语,褒义,赞扬,力争上游/激流勇进,
攀附,动词,贬义,贬责,巴结,
攀高枝儿,惯用语,贬义,憎恶,攀龙附凤,
攀龙附凤,成语,贬义,贬责,攀高枝儿,
盘剥,动词,贬义,憎恶,剥削,
盘踞,动词,贬义,憎恶,霸占/强占,
叛国,动词,贬义,憎恶,卖国,
叛徒,名词,贬义,憎恶,汉奸/卖国贼,
磅礴,形容词,褒义,赞扬,宏伟/雄伟,
庞大,形容词,贬义,贬责,臃肿,
庞然大物,成语,贬义,憎恶,大而无当,
抛头露面,成语,贬义,贬责,出风头/出头露面,
炮制,动词,贬义,贬责,捏造/胡编/瞎编,
泡病号,惯用语,贬义,贬责,,
泡蘑菇,惯用语,贬义,憎恶,磨洋工,
炮灰,名词,贬义,贬责,,
培养,动词,褒义,喜爱,,
佩服,动词,褒义,敬重,敬佩/钦佩/信服/悦服,
蓬勃,形容词,褒义,赞扬,繁荣/旺盛/兴旺,
蓬头垢面,成语,贬义,贬责,蓬首垢面,
朋比为奸,成语,贬义,憎恶,沆瀣一气/狼狈为奸/同流合污,
朋党,名词,贬义,贬责,党羽/死党,
鹏程万里,成语,褒义,喜爱/赞扬,前程远大,
披肝沥胆,成语,褒义,敬重/赞扬,披露肝胆,
披荆斩棘,成语,褒义,赞扬,开山辟路/勇往直前,
皮笑肉不笑,成语,贬义,厌恶,口蜜腹剑/口是心非,
痞子,名词,贬义,憎恶,地痞/流氓,
屁话,名词,贬义,厌恶,鬼话/胡话/浑话/瞎话,
偏激,形容词,贬义,批评,过火/过激/激烈,
偏见,名词,贬义,批评,成见,
偏袒,动词,贬义,批评,偏向/偏心/袒护,
偏心,形容词,贬义,批评,偏心眼儿,
偏执,形容词,贬义,批评,固执/顽固/执拗,
翩翩,形容词,褒义,喜爱/赞扬,翩然/翩迁,
片面,形容词,贬义,批评,挂漏/管窥,
骗局,名词,贬义,贬责,诡计/圈套,
骗取,动词,贬义,贬责,坑骗/诓骗/哄骗/蒙骗/欺骗/诈骗,
骗子,名词,贬义,憎恶,,
剽窃,动词,贬义,贬责,抄袭/窃取/偷窃,
漂亮,形容词,褒义,赞扬,美丽/好看/出色/精彩,
拼搏,动词,褒义,赞扬,奋斗,
贫骨头,名词,贬义,贬责/批评,吝啬/小气鬼/长舌妇,
贫气,形容词,贬义,贬责/批评,寒酸/俗气/唠叨/啰嗦/絮叨,
贫嘴,动词,贬义,贬责,贫骨头,
贫嘴薄舌,成语,贬义,批评,尖酸刻薄/尖嘴薄舌/贫嘴贱舌,
品学兼优,成语,褒义,赞扬,德才兼备/文武双全,
平易近人,成语,褒义,赞扬,和蔼可亲/浅显易懂,
评头论足,成语,贬义,批评,品头论足/说长道短,
泼冷水,惯用语,贬义,批评,,
婆婆妈妈,惯用语,贬义,批评,唠唠叨叨/絮絮叨叨/啰里啰嗦,
迫害,动词,贬义,憎恶,暗害/残害/坑害/伤害/陷害,
破罐儿破摔,惯用语,贬义,贬责,放任自流/一蹶不振,
破口大骂,成语,贬义,憎恶,出口不逊/血口喷人,
破绽百出,成语,贬义,贬责,漏洞百出,
魄力,名词,褒义,赞扬,气魄/威力,
朴实,形容词,褒义,赞扬,质朴/朴质,
朴素,形容词,褒义,喜爱/赞扬,素净/俭朴/简朴,
欺负,动词,贬义,贬责,欺侮/欺凌,
欺骗,动词,贬义,贬责,欺哄/欺瞒/欺蒙/欺诈,
欺人太甚,成语,贬义,贬责,狗仗人势/仗势欺人,
欺软怕硬,成语,贬义,批评,厚此薄彼/畏强凌弱/重富欺贫,
欺压,动词,贬义,贬责,欺凌/欺侮/压迫/,
欺诈,动词,贬义,贬责,诈骗,
旗号,名词,贬义,贬责,幌子,
旗手,名词,褒义,敬重,榜样/标兵/带头人,
旗帜,名词,褒义,赞扬,榜样/模范,
奇兵,名词,褒义,赞扬,神兵,
奇才,名词,褒义,赞扬,才能/天才,
奇功,名词,褒义,赞扬,功劳/功勋,
奇货可居,成语,贬义,贬责,囤积居奇,
奇迹,名词,褒义,赞扬,奇观,
奇妙,形容词,褒义,喜爱,美妙/巧妙,
奇葩,名词,褒义,赞扬,鲜花/香花,
奇巧,形容词,褒义,赞扬,奇妙/巧妙/新奇/新颖,
奇志,名词,褒义,赞扬,抱负/理想,
歧途,名词,贬义,批评,邪路,
启示,名词/动词,褒义,敬重/赞扬,启发/启迪,
杞人忧天,成语,贬义,批评,庸人自扰/自寻烦恼,
气昂昂,形容词,褒义,赞扬,斗志昂扬/雄赳赳,
气概,名词,褒义,赞扬,气魄,
气贯长虹,成语,褒义,赞扬,气冲霄汉/气势磅礴/气吞山河/气吞霄汉,
气急败坏,成语,贬义,鄙视,暴跳如雷/恼羞成怒,
气节,名词,褒义,赞扬,节操,
气魄,名词,褒义,赞扬,魄力,
气势汹汹,成语,贬义,憎恶,来势汹汹,
气象万千,成语,褒义,赞扬,千姿百态/万象更新/云蒸霞蔚,
气焰,名词,贬义,憎恶,凶焰/凶气,
气壮山河,成语,褒义,赞扬,气贯长虹/气势磅礴/气吞山河/气吞霄汉,
千锤百炼,成语,褒义,赞扬,百炼成钢/精雕细刻/精益求精/字斟句酌,
千篇一律,成语,贬义,批评,千人一面,
千秋,名词,褒义,敬重,千载/万代,
迁就,动词,贬义,批评,姑息,
谦恭,形容词,褒义,赞扬,恭谨/谦逊,
谦和,形容词,褒义,赞扬,和蔼/谦逊/温和,
谦让,动词,褒义,赞扬,宽让/礼让/推让,
谦虚,形容词/动词,褒义,赞扬,谦逊/虚心,
前程似锦,成语,褒义,赞扬,前程光明/前程远大,
前赴后继,成语,褒义,赞扬,前仆后继,
前仆后继,成语,褒义,赞扬,前赴后继,
前驱,名词,褒义,敬重,前贤/先驱,
浅薄,形容词,贬义,鄙视,轻浮/微薄,
浅显,形容词,褒义,赞扬,浅近/浅易,
强暴,形容词/名词/动词,贬义,憎恶,强横/凶暴/恶霸/奸淫/强奸,
强盗,名词,贬义,憎恶,土匪/强梁,
强横,形容词,贬义,贬责,蛮横/强暴,
强加,动词,贬义,贬责,,
强健,形容词,褒义,赞扬,健康/健壮/强壮,
强劲,形容词,褒义,赞扬,强大/有力,
强盛,形容词,褒义,赞扬,昌盛/富强/强大/兴盛/兴旺,
强壮,形容词,褒义,喜爱,健壮/强健/壮实,
抢夺,动词,贬义,贬责,抢劫/抢掠,
抢劫,动词,贬义,憎恶,抢夺/掠夺/抢掠,
强辩,动词,贬义,贬责,诡辩,
强词夺理,成语,贬义,贬责,蛮横/无理,
敲诈,动词,贬义,憎恶,勒索,
敲竹杠,惯用语,贬义,贬责,敲棍子/敲杠子,
巧夺天工,成语,褒义,赞扬,鬼斧神工/玲珑剔透,
巧立名目,成语,贬义,贬责,弄虚作假/欺上瞒下/歪门邪道,
翘尾巴,惯用语,贬义,贬责,骄傲自大/夜郎自大/自命不凡,
窃据,动词,贬义,憎恶,窃取,
窃取,动词,贬义,憎恶,偷取/剽窃,
亲切,形容词,褒义,喜爱,和善/亲和/亲善/温和,
钦佩,动词,褒义,敬重,佩服/敬佩/赞佩,
侵犯,动词,贬义,贬责,损害/触犯/侵略/侵入/侵占,
侵略,动词,贬义,贬责,侵犯/侵入,
侵权,动词,贬义,贬责,,
侵吞,动词,贬义,贬责,侵占,
侵占,动词,贬义,贬责,侵吞/强占,
勤奋,形容词,褒义,赞扬,发愤/勤劳,
勤俭,形容词,褒义,赞扬,节俭/勤劳,
勤恳,形容词,褒义,赞扬,勤劳/勤奋,
勤劳,形容词,褒义,赞扬,勤奋/勤恳/勤快/辛勤,
青春,名词,褒义,喜爱,韶光/韶华,
清白,形容词,褒义,赞扬,纯洁/纯净,
清官,名词,褒义,赞扬,廉吏,
清规戒律,成语,贬义,贬责,陈规陋习,
清朗,形容词,褒义,喜爱,清澈/清亮,
清廉,形容词,褒义,赞扬,廉洁/廉明,
清爽,形容词,褒义,喜爱,凉爽/轻快,
清香,名词,褒义,喜爱,馨香/清馨,
清新,形容词,褒义,喜爱,清爽/新鲜/新颖,
清秀,形容词,褒义,喜爱,秀丽/秀美,
轻浮,形容词,贬义,贬责,轻狂/轻佻,
轻捷,形容词,褒义,喜爱,敏捷/轻快/轻盈,
轻举妄动,成语,贬义,贬责,恣意妄为/胡作非为/随心所欲,
轻快,形容词,褒义,喜爱,轻捷/轻巧/轻松/轻盈/愉快,
轻巧,形容词,褒义,喜爱,精巧/灵巧/轻捷,
轻视,动词,贬义,贬责,忽视/看轻/漠视/小看,
轻率,形容词,贬义,贬责,草率/随便,
轻盈,形容词,褒义,喜爱,轻捷/轻快/轻柔,
穷途末路,成语,贬义,鄙视,山穷水尽/走投无路,
穷凶极恶,成语,贬义,憎恶,无恶不作/丧尽天良/罪恶滔天,
秋后的蚂蚱,惯用语,贬义,鄙视,秋后的蚊子,
求全责备,成语,贬义,批评,吹毛求疵,
圈套,名词,贬义,鄙视,骗局/陷阱,
全才,名词,褒义,赞扬,多面手,
全心全意,成语,褒义,赞扬,真心实意/尽心尽力,
权术,名词,贬义,憎恶,伎俩,
权威,名词,褒义,敬重,,
拳头产品,名词,褒义,赞扬,,
缺德,形容词,贬义,贬责,损人/刻薄,
缺点,名词,贬义,批评,错误/毛病/欠缺,
扰乱,动词,贬义,贬责,干扰/搅扰/骚扰,
惹是生非,成语,贬义,憎恶,无事生非,
热爱,动词,褒义,赞扬,爱好/酷爱,
热忱,形容词/名词,褒义,赞扬,热诚/热情,
热诚,形容词/名词,褒义,赞扬,热忱/真诚/热情,
热火朝天,成语,褒义,赞扬,轰轰烈烈,
热烈,形容词,褒义,赞扬,,
热情,名词/形容词,褒义,赞扬,热忱/热诚,
人才,名词,褒义,赞扬,,
人才辈出,成语,褒义,赞扬,人才济济,
人贩子,名词,贬义,憎恶,,
人浮于事,成语,贬义,批评,,
人尽其才,成语,褒义,赞扬,,
人面兽心,成语,贬义,憎恶,衣冠禽兽,
人寿年丰,成语,褒义,赞扬,,
人梯,名词,褒义,赞扬,,
人云亦云,成语,贬义,批评,随声附和,
仁慈,形容词,褒义,赞扬,慈爱/慈善/仁爱/善良,
仁至义尽,成语,褒义,赞扬,情至义尽,
