词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
铮亮,adj,1,1,PH,3,1,,,,,
鸾凤和鸣,idiom,1,1,PA,5,1,,,,,
板脸,verb,1,1,NE,5,0,,,,,
抱疚,adj,1,1,NH,3,2,,,,,
憋着一肚子气,idiom,1,1,NE,7,2,,,,,
愁惨,adj,1,1,NE,5,2,,,,,
错愕,verb,1,1,PC,7,2,,,,,
掉魂,verb,1,1,NE,7,2,,,,,
发牢骚,verb,1,1,NE,3,2,,,,,
烦神,adj,1,1,NE,5,2,,,,,
忿忿不平,adj,1,1,NA,5,2,,,,,
惶然不安,idiom,1,1,NC,5,2,NI,3,2,,
急死,adj,1,1,NE,7,2,,,,,
介意,adj,1,1,NE,3,0,,,,,
举棋不定,idiom,1,1,NE,5,0,,,,,
口诛笔伐,verb,1,1,NN,5,2,,,,,
拉不下脸来,adj,1,1,NE,3,0,,,,,
骂得狗血喷头,verb,1,1,NN,7,2,,,,,
怒火冲天,idiom,1,1,NA,7,0,,,,,
气愤愤,adj,1,1,NA,5,0,,,,,
歉然,verb,1,1,NN,3,0,,,,,
人身攻击,noun,1,1,NN,5,2,,,,,
数落,verb,1,1,NN,3,0,,,,,
痛责,verb,1,1,NN,5,0,,,,,
下不了台,adj,1,1,NE,5,0,,,,,
杏眼圆睁,adj,1,1,PH,3,1,,,,,
讶然失色,idiom,1,1,PC,7,0,,,,,
怔神儿,adj,1,1,PC,3,0,,,,,
追悔莫及,idiom,1,1,NH,7,0,,,,,
彷徨,verb,1,1,NE,5,0,,,,,
爱上,verb,1,1,PB,5,0,,,,,
高山仰止,idiom,1,1,PD,7,0,,,,,
恨不得,verb,1,1,NE,7,0,,,,,
祭拜,verb,1,1,PD,5,0,,,,,
敬服,verb,1,1,PD,5,0,,,,,
看上眼,adj,1,1,PB,3,0,,,,,
梦魂萦绕,idiom,1,1,PF,7,0,,,,,
安好,adj,1,1,PE,1,1,,,,,
如痴如狂,idiom,1,1,PB,7,0,,,,,
安泰,adj,1,1,PH,1,1,,,,,
叹为观止,idiom,1,1,PC,7,1,,,,,
忘乎所以,idiom,1,1,NN,5,0,,,,,
尖嘴薄舌,idiom,1,1,NN,5,2,,,,,
艰苦卓绝,idiom,1,1,PH,7,1,PG,3,1,,
心如铁石,idiom,1,1,NN,7,2,NE,3,2,,
见风转舵,idiom,1,1,NN,7,2,ND,5,2,,
叩拜,verb,1,1,PD,5,0,,,,,
倍儿棒,adj,1,1,PH,7,1,PB,5,1,,
竭蹶,prep,1,1,NE,7,0,,,,,
彪壮,adj,1,1,ND,1,0,,,,,
博闻广识,idiom,1,1,PH,5,1,,,,,
不动摇,prep,1,1,PH,1,0,,,,,
不落俗套,idiom,1,1,PH,5,1,NN,1,2,,
可骇,adj,1,1,NC,9,2,,,,,
不泄气,adj,1,1,PH,1,1,NN,1,2,,
才气横溢,idiom,1,1,PH,7,1,NN,1,2,,
空落落,adj,1,1,NB,7,0,,,,,
枯寂,adj,1,1,NN,5,2,NB,5,2,,
苦口,adj,1,1,NB,7,0,,,,,
狂恣,adj,1,1,NN,9,2,,,,,
老辣,adj,1,1,NN,5,2,,,,,
肋脦,adj,1,1,NN,7,2,ND,5,2,,
哩哩罗罗,idiom,1,1,NN,3,2,,,,,
凛然,adj,1,1,PH,7,1,PD,3,1,,
伶仃,adj,1,1,NB,7,0,,,,,
令人厌倦,idiom,1,1,NN,7,2,NE,7,2,,
碌碌无为,idiom,1,1,NN,7,2,ND,5,2,,
马马虎虎,idiom,1,1,NN,5,2,,,,,
莽莽撞撞,idiom,1,1,NN,5,2,,,,,
没骨头,prep,1,1,NN,7,2,ND,3,2,,
没两下子,idiom,1,1,NN,7,2,ND,3,2,,
没心眼儿,idiom,1,1,NN,3,2,,,,,
迷糊,adj,1,1,NE,5,0,NN,3,2,,
模棱两可,idiom,1,1,NN,5,2,,,,,
少见多怪,idiom,1,1,NN,3,2,,,,,
难上难,adj,1,1,NE,5,2,,,,,
一塌糊涂,adj,1,1,NN,9,2,,,,,
只顾自身利益,adj,1,1,NN,9,2,,,,,
一个心眼儿,adj,1,1,PH,9,1,,,,,
一级,adj,1,1,PH,9,1,,,,,
有头脑,adj,1,1,PH,9,1,,,,,
欣欣向荣,adj,1,1,PH,9,1,,,,,
难驯服,prep,1,1,NN,3,2,,,,,
闹闹嚷嚷,idiom,1,1,NN,7,2,NE,5,2,,
贫寒,adj,1,1,NB,3,0,,,,,
铺张浪费,idiom,1,1,NN,7,2,,,,,
奇丑无比,idiom,1,1,NN,9,2,,,,,
气壮如牛,idiom,1,1,PH,3,1,,,,,
清苦,adj,1,1,NB,5,0,,,,,
穷途潦倒,idiom,1,1,NN,7,2,NB,3,2,,
缺乏幽默,idiom,1,1,NN,5,2,,,,,
弱智,adj,1,1,NN,9,2,,,,,
色迷迷,adj,1,1,NN,9,2,ND,5,2,,
傻里傻气,idiom,1,1,NN,5,2,,,,,
神不知，鬼不觉,idiom,1,1,NN,3,0,,,,,
失落,adj,1,1,NA,7,0,NB,7,2,,
食古不化,idiom,1,1,NN,7,2,,,,,
喧天,prep,1,1,NE,9,2,,,,,
丰姿绰约,idiom,1,1,PH,5,1,PB,3,1,,
捉摸不定,idiom,1,1,NN,9,2,PH,1,1,,
特等,adj,1,1,PA,5,0,PH,9,1,,
肝胆过人,idiom,1,1,PH,3,1,,,,,
高档化,noun,1,1,PH,3,1,,,,,
高深莫测,idiom,1,1,PH,1,0,,,,,
革命性,noun,1,1,PH,3,1,,,,,
功德无量,idiom,1,1,PH,7,1,,,,,
古朴,adj,1,1,PB,3,1,PH,1,1,,
过得硬,adj,1,1,PH,3,1,,,,,
很有抱负,idiom,1,1,PH,5,1,,,,,
数一数二,idiom,1,1,PH,7,1,,,,,
花容月貌,idiom,1,1,PH,5,1,PB,3,1,,
受吃,adj,1,1,PB,3,1,,,,,
史无前例,idiom,1,1,PH,7,1,,,,,
圣礼,noun,1,1,PD,9,0,,,,,
滑天下之大稽,idiom,1,1,NN,7,2,,,,,
生死不渝,idiom,1,1,PH,7,0,,,,,
深入人心,idiom,1,1,PH,5,1,,,,,
擅场,verb,1,1,PH,9,1,,,,,
上赶,verb,1,1,NN,7,2,,,,,
井然有序,idiom,1,1,PH,5,1,,,,,
举足轻重,idiom,1,1,PH,5,1,,,,,
人寿年丰,idiom,1,1,PH,7,1,,,,,
俊俏,adj,1,1,PH,5,1,,,,,
确凿无疑,idiom,1,1,PG,9,0,,,,,
确定,adj,1,1,PG,9,0,,,,,
老成练达,idiom,1,1,PH,3,3,NN,1,3,,
鼠胆,adj,1,1,NN,9,2,,,,,
强势,adj,1,1,PH,1,0,,,,,
浅显,adj,1,1,NN,1,0,,,,,
心胸狭隘,idiom,1,1,NN,9,2,ND,3,2,,
性格内向,idiom,1,1,NN,9,2,NB,1,2,,
千姿百态,idiom,1,1,PH,7,1,PB,5,1,,
气度恢宏,idiom,1,1,PH,9,1,,,,,
起眼儿,prep,1,1,PH,1,0,,,,,
越轨,prep,1,1,NN,9,2,,,,,
令人大开眼界,idiom,1,1,PH,3,1,,,,,
完美无疵,idiom,1,1,PH,9,1,,,,,
朴实无华,adj,1,1,PH,3,1,,,,,
无上光荣,idiom,1,1,PH,9,1,PB,3,1,,
有嘴无心,idiom,1,1,PH,9,1,,,,,
逸乐,prep,1,1,PH,9,1,,,,,
心宽,prep,1,1,PH,9,1,,,,,
无污染,prep,1,1,PH,9,1,,,,,
无拘束,prep,1,1,PH,9,1,,,,,
闻过则喜,idiom,1,1,PH,9,1,,,,,
谈吐不俗,idiom,1,1,PH,9,1,,,,,
名副其实,idiom,1,1,PH,5,1,,,,,
喷香,adj,1,1,PB,3,1,PH,3,1,,
哀莫大于心死,idiom,1,1,NB,9,2,,,,,
安邦定国,idiom,1,1,PH,9,1,,,,,
金瓯无缺,idiom,1,1,PH,7,1,PE,9,1,,
我武惟扬,idiom,1,1,PH,9,1,PE,5,1,,
乃心王室,idiom,1,1,PH,9,1,PE,5,1,,
尽忠报国,idiom,1,1,PH,9,1,PE,5,1,,
杀身报国,idiom,1,1,PH,9,1,PE,5,1,,
忧国忘身,idiom,1,1,PH,9,1,PE,5,1,,
济世经邦,idiom,1,1,PH,9,1,PE,5,1,,
兴利除弊,idiom,1,1,PH,9,1,PD,1,1,,
猫鼠同处,idiom,1,1,ND,9,2,NN,3,2,,
四海鼎沸,idiom,1,1,NE,7,2,,,,,
出疆载质,idiom,1,1,NN,9,2,,,,,
委国听令,idiom,1,1,NN,9,2,,,,,
国步艰难,idiom,1,1,NB,7,2,NN,7,2,,
立国安邦,idiom,1,1,PH,9,1,,,,,
溽热,adj,1,1,NN,1,2,NE,1,2,,
欢快,adj,1,1,PA,5,1,,,,,
如意,adj,1,1,PA,3,1,,,,,
得志,adj,1,1,PA,3,1,,,,,
好日子,noun,1,1,PH,5,1,PA,3,1,,
欢娱,adj,1,1,PA,5,1,,,,,
庆幸,verb,1,1,PA,3,1,,,,,
喜气,noun,1,1,PA,5,1,,,,,
兴高采烈,adj,1,1,PA,7,1,,,,,
快意,adj,1,1,PA,5,1,,,,,
艳福,noun,1,1,PA,5,0,,,,,
乐陶陶,adj,1,1,PA,5,1,,,,,
逗人,adj,1,1,PA,5,1,PB,5,1,,
眉开眼笑,adj,1,1,PA,5,1,,,,,
笑逐言开,adj,1,1,PA,5,1,,,,,
距跃三百,adj,1,1,PA,7,1,,,,,
鹊笑鸠舞,idiom,1,1,PA,7,1,,,,,
神采飞扬,adj,1,1,PA,5,1,,,,,
忍俊不禁,idiom,1,1,PA,5,0,,,,,
嫣然,adj,1,1,PA,5,1,,,,,
笑噱,verb,1,1,PA,5,0,,,,,
和颜悦色,idiom,1,1,PA,5,1,,,,,
胡敲梆子乱击磬－欢喜若狂,idiom,1,1,PA,9,0,,,,,
新媳妇怀孕－暗喜,idiom,1,1,PA,5,0,,,,,
