词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
结伴,verb,1,1,PB,5,0,,,,,
桀骜,adj,1,1,NN,3,0,,,,,
解数,noun,1,1,PH,5,0,,,,,
借故,verb,1,1,NN,5,2,,,,,
金銮殿,noun,1,1,PD,7,1,,,,,
闹别扭,verb,1,1,NE,5,2,,,,,
能事,noun,1,1,PH,5,1,,,,,
拥抱,verb,1,1,PB,7,1,,,,,
优渥,adj,1,1,PB,3,1,,,,,
悠谬,adj,1,1,NN,9,2,,,,,
游戏,verb,2,2,PA,7,0,,,,,
友人,noun,1,1,PB,7,1,,,,,
余悸,noun,1,1,NC,5,0,,,,,
窳惰,adj,1,1,NN,5,2,,,,,
肠阻塞,noun,1,1,NI,5,2,,,,,
唱对台戏,verb,1,1,NN,5,2,,,,,
超级大国,noun,1,1,PD,5,1,,,,,
朝奉,verb,1,1,PH,5,1,,,,,
沉吟,verb,1,1,NE,5,2,,,,,
诚意,noun,1,1,PH,7,1,,,,,
吃不来,adj,1,1,NE,5,2,,,,,
吃得住,adj,1,1,PE,5,1,,,,,
痴想,verb,1,1,NJ,5,2,,,,,
笔大如椽,idiom,1,1,PH,5,1,,,,,
碧鬟红袖,idiom,1,1,PB,5,1,,,,,
辩口利舌,idiom,1,1,PH,5,1,,,,,
标新领异,idiom,1,1,PH,5,1,,,,,
别开一格,idiom,1,1,PH,5,1,,,,,
冰寒于水,idiom,1,1,PH,5,1,,,,,
兵强则灭,idiom,1,1,NN,5,1,,,,,
并容徧覆,idiom,1,1,PH,5,1,,,,,
播穅眯目,idiom,1,1,NN,5,2,,,,,
博闻强志,idiom,1,1,PH,5,1,,,,,
不同戴天,idiom,1,1,ND,9,0,,,,,
不直一文,idiom,1,1,NN,5,2,,,,,
不知疼痒,idiom,1,1,NN,5,2,,,,,
不食烟火,idiom,2,2,PH,5,1,,,,,
不爽累黍,idiom,1,1,PH,5,1,,,,,
不落边际,idiom,1,1,NN,5,2,,,,,
不经之语,idiom,1,1,NN,5,2,,,,,
不择生冷,idiom,1,1,NN,5,2,,,,,
不避斧钺,idiom,1,1,NN,5,2,,,,,
不识局面,idiom,1,1,NN,5,2,,,,,
不辩菽麦,idiom,1,1,NN,5,2,,,,,
材轻德薄,idiom,1,1,PD,5,0,,,,,
采兰赠药,idiom,1,1,PB,5,0,,,,,
惨绿年华,idiom,1,1,PH,5,1,,,,,
差若毫釐，谬以千里,idiom,1,1,NN,5,2,,,,,
豺狼横道,idiom,1,1,ND,5,2,,,,,
倡条冶叶,idiom,1,1,PH,5,1,,,,,
长林丰草,idiom,1,1,PH,5,1,,,,,
长戟高门,idiom,1,1,PH,5,1,,,,,
远谋深算,idiom,1,1,PH,5,1,,,,,
月白风清,idiom,1,1,PB,5,0,,,,,
刖趾適屦,idiom,1,1,NN,5,2,,,,,
云中白鹤,idiom,1,1,PH,5,1,,,,,
云容月貌,idiom,1,1,PH,5,1,,,,,
云窗霞户,idiom,1,1,PB,5,1,,,,,
允执厥中,idiom,1,1,PD,5,1,,,,,
咂嘴舔脣,idiom,3,3,PC,5,0,,,,,
赃私狼籍,idiom,1,1,NN,5,2,,,,,
澡身浴德,idiom,1,1,PH,5,1,,,,,
造茧自缚,idiom,1,1,NN,5,0,,,,,
贼臣乱子,idiom,1,1,NN,5,2,,,,,
乍毛变色,idiom,1,1,PK,5,0,,,,,
沾风惹草,idiom,1,1,NN,5,2,,,,,
展眼舒眉,idiom,1,1,PE,5,0,,,,,
湛恩汪濊,idiom,1,1,PH,5,1,,,,,
招事惹非,idiom,1,1,NN,5,2,,,,,
朝生夕死,idiom,1,1,NB,5,0,,,,,
朝歌暮弦,idiom,1,1,NN,5,2,,,,,
真金烈火,idiom,1,1,PH,5,1,,,,,
枕籍经史,idiom,1,1,PH,5,1,,,,,
正大堂皇,idiom,1,1,PH,5,1,,,,,
证龟成鳖,idiom,1,1,NN,5,2,,,,,
脂膏莫润,idiom,1,1,PH,5,1,,,,,
直言切谏,idiom,1,1,PH,5,1,,,,,
植发冲冠,idiom,1,1,NA,5,0,,,,,
指李推张,idiom,1,1,NN,5,2,,,,,
指瑕造隙,idiom,1,1,NN,5,2,,,,,
面如灰土,idiom,1,1,NC,5,0,,,,,
面谀背毁,idiom,1,1,NN,5,2,,,,,
妙想天开,idiom,1,1,PH,5,1,,,,,
民淳俗厚,idiom,1,1,PE,9,1,,,,,
名公巨卿,idiom,1,1,PH,6,1,,,,,
明公正气,idiom,1,1,PH,6,1,,,,,
明心见性,idiom,1,1,PH,5,1,,,,,
鸣凤朝阳,idiom,1,1,PH,5,1,,,,,
谬想天开,idiom,1,1,NN,5,2,,,,,
磨砻底厉,idiom,1,1,PH,6,0,,,,,
目不苟视,idiom,1,1,PH,5,1,,,,,
目眐心骇,idiom,1,1,NC,7,0,,,,,
目睫之论,idiom,1,1,NN,5,2,,,,,
目瞪心骇,idiom,1,1,NC,5,0,,,,,
拏风跃云,idiom,1,1,PH,5,1,,,,,
难分难舍,idiom,1,1,PB,7,1,,,,,
能牙利齿,idiom,1,1,PH,5,1,,,,,
泥车瓦马,idiom,1,1,NN,5,2,,,,,
逆天暴物,idiom,1,1,NN,6,2,,,,,
黏皮着骨,idiom,1,1,NN,5,2,,,,,
鸟惊鼠窜,idiom,1,1,NC,7,2,,,,,
牛羊勿践,idiom,1,1,PB,5,1,,,,,
弄影团风,idiom,1,1,NI,5,0,,,,,
怕痛怕痒,idiom,1,1,NN,5,2,,,,,
旁门小道,idiom,1,1,NN,6,2,,,,,
鹏霄万里,idiom,1,1,PH,5,1,,,,,
十光五色,idiom,1,1,PA,5,1,,,,,
十眠九坐,idiom,1,1,NB,5,2,,,,,
时亨运泰,idiom,1,1,PA,5,1,,,,,
识时达务,idiom,1,1,PH,5,1,,,,,
识变从宜,idiom,1,1,PH,5,1,,,,,
食不充饥,idiom,1,1,NB,5,2,,,,,
食不终味,idiom,1,1,NI,5,2,,,,,
食荼卧棘,idiom,1,1,NB,5,2,,,,,
使心作倖,idiom,1,1,NN,5,2,,,,,
使酒骂座,idiom,1,1,NN,5,2,,,,,
事倍功半,idiom,1,1,PH,5,1,,,,,
饰非拒谏,idiom,1,1,NN,5,2,,,,,
视人如伤,idiom,1,1,PH,5,1,,,,,
视死犹归,idiom,1,1,PH,5,1,,,,,
视财如命,idiom,1,1,NN,5,2,,,,,
室如县罄,idiom,1,1,NB,5,2,,,,,
誓以皦日,idiom,1,1,PB,5,1,,,,,
適可而止,idiom,1,1,PA,5,1,,,,,
適得其反,idiom,1,1,NJ,5,2,,,,,
手到擒来,idiom,1,1,PH,5,1,,,,,
守缺抱残,idiom,1,1,NN,5,2,,,,,
兽心人面,idiom,1,1,NN,5,2,,,,,
叔度陂湖,idiom,1,1,PH,5,1,,,,,
熟路轻车,idiom,1,1,PE,5,1,,,,,
鼠肝虫臂,idiom,1,1,NN,5,2,,,,,
鼠腹蜗肠,idiom,1,1,NN,5,2,,,,,
鼠窃狗偷,idiom,1,1,NN,5,2,,,,,
束手坐视,idiom,1,1,NN,5,2,,,,,
束手就殪,idiom,1,1,NN,5,2,,,,,
束蒲为脯,idiom,1,1,NN,5,2,,,,,
竖子成名,idiom,1,1,NN,5,2,,,,,
双凫一雁,idiom,1,1,NB,5,2,,,,,
水天一色,idiom,1,1,PA,5,1,,,,,
水长船高,idiom,1,1,PA,5,1,,,,,
水涨船高,idiom,1,1,PH,5,1,,,,,
顺我者生，逆我者死,idiom,1,1,NN,5,2,,,,,
顺风张帆,idiom,1,1,PA,5,1,,,,,
说是谈非,idiom,1,1,NN,5,2,,,,,
死乞百赖,idiom,1,1,NN,5,2,,,,,
死灰槁木,idiom,1,1,NN,5,2,,,,,
死败涂地,idiom,1,1,NB,5,2,,,,,
死声淘气,idiom,1,1,NB,5,2,,,,,
胡作乱为,idiom,1,1,ND,7,2,,,,,
胡越同舟,idiom,1,1,PH,5,1,,,,,
鹄形鸟面,idiom,1,1,NB,5,0,,,,,
怙才骄物,idiom,1,1,NN,7,2,,,,,
化及豚鱼,idiom,1,1,PH,7,1,,,,,
滑泥扬波,idiom,1,1,NN,5,2,,,,,
怀道迷邦,idiom,1,1,NJ,5,0,,,,,
欢迸乱跳,idiom,1,1,PA,9,1,,,,,
还乡昼锦,idiom,1,1,PB,5,0,,,,,
涣尔冰开,idiom,1,1,PG,7,1,,,,,
黄口孺子,idiom,1,1,NN,5,2,,,,,
黄发台背,idiom,1,1,PE,5,0,,,,,
黄钟毁弃,idiom,1,1,NB,7,0,,,,,
灰身粉骨,idiom,1,1,NB,9,0,,,,,
挥戈退日,idiom,1,1,PH,9,1,,,,,
麾之即去,idiom,1,1,PG,5,0,,,,,
回春妙手,idiom,1,1,PH,7,1,,,,,
回肠伤气,idiom,1,1,PB,7,1,,,,,
毁车杀马,idiom,1,1,NJ,5,0,,,,,
诲淫诲盗,idiom,1,1,ND,5,2,,,,,
昏定晨省,idiom,1,1,PD,5,1,,,,,
浑金白玉,idiom,1,1,PH,7,1,,,,,
混混噩噩,idiom,1,1,NN,5,2,,,,,
魂不著体,idiom,1,1,NB,5,0,,,,,
魂飞胆丧,idiom,1,1,PC,9,0,,,,,
魂消胆丧,idiom,1,1,PC,9,0,,,,,
魂销肠断,idiom,1,1,PF,7,0,,,,,
活天冤枉,idiom,1,1,NB,9,0,,,,,
火上加油,idiom,1,1,NN,5,2,,,,,
火树琪花,idiom,1,1,PA,7,0,,,,,
祸不旋踵,idiom,1,1,NE,7,0,,,,,
惑世盗名,idiom,1,1,NN,7,0,,,,,
击楫中流,idiom,1,1,PH,7,1,,,,,
饥寒交切,idiom,1,1,NB,5,0,,,,,
机变如神,idiom,1,1,PH,5,1,,,,,
鸡犬升天,idiom,1,1,NN,7,2,,,,,
鸡飞狗跳,idiom,1,1,ND,7,2,,,,,
及溺呼船,idiom,1,1,NJ,7,0,,,,,
极重难返,idiom,1,1,NN,7,2,,,,,
急公好施,idiom,1,1,PH,5,1,,,,,
集矢之的,idiom,1,1,ND,7,2,,,,,
计日以待,idiom,1,1,PF,7,0,,,,,
计无由出,idiom,1,1,NJ,5,0,,,,,
计获事足,idiom,1,1,PE,5,0,,,,,
骥服盐车,idiom,1,1,NJ,5,0,,,,,
家反宅乱,idiom,1,1,NB,5,0,,,,,
嘉言善行,idiom,1,1,PH,5,1,,,,,
假公营私,idiom,1,1,ND,5,2,,,,,
架海金梁,idiom,1,1,PH,7,1,,,,,
肩劳任怨,idiom,1,1,PH,7,1,,,,,
古典,adj,2,2,PD,3,1,,,,,
故技,noun,1,1,NN,2,3,,,,,
怪谲,adj,1,1,NN,5,0,,,,,
过甚,adj,1,1,NN,3,0,,,,,
寒噤,verb,2,2,PC,3,0,,,,,
合得来,verb,1,1,PB,5,0,,,,,
豁出去,verb,1,1,NA,5,0,,,,,
火辣辣,adj,3,3,NI,3,0,,,,,
急赤白脸,noun,1,1,NI,5,0,,,,,
忌讳,verb,1,1,ND,5,0,,,,,
云雨巫山,idiom,1,1,PA,5,1,,,,,
自拔来归,idiom,1,1,PH,5,1,,,,,
百舍重趼,idiom,1,1,NE,5,2,,,,,
艰苦朴素,idiom,1,1,PH,5,1,,,,,
卜昼卜夜,idiom,1,1,NN,5,2,,,,,
"上无片瓦,下无插针之地",idiom,1,1,NE,5,2,,,,,
厭齑暮盐,idiom,1,1,NE,5,2,,,,,
饫甘餍肥,idiom,1,1,NN,3,2,,,,,
委肉虎蹊,idiom,1,1,NI,5,2,,,,,
鸿雁哀鸣,idiom,1,1,NB,5,2,,,,,
八卦,adj,2,2,NN,5,2,,,,,
跋涉,verb,1,1,NE,5,0,,,,,
罢了,verb,1,1,NE,5,0,,,,,
摆弄,verb,1,1,NE,5,0,,,,,
败阵,noun,1,1,NJ,5,2,,,,,
拜年,verb,1,1,PA,5,1,,,,,
班班,adj,4,3,PB,5,1,,,,,
伴同,verb,1,1,PE,5,0,,,,,
帮助,verb,1,1,PB,5,1,,,,,
包打听,nw,1,1,NN,5,2,,,,,
满足,adj,2,1,PA,7,1,,,,,
美气,noun,1,1,PH,4,1,,,,,
蒙难,verb,1,1,NN,3,2,,,,,
投膏止火,idiom,1,1,NN,7,2,,,,,
徒拥虚名,idiom,1,1,NN,5,2,,,,,
土壤细流,idiom,1,1,ND,5,0,,,,,
吐刚茹柔,idiom,1,1,ND,7,2,,,,,
兔缺乌沈,idiom,1,1,NB,7,0,,,,,
抟心揖志,idiom,1,1,PH,7,1,,,,,
推枯折腐,idiom,1,1,ND,9,2,,,,,
推贤让能,idiom,1,1,PH,7,1,,,,,
颓垣断堑,idiom,1,1,NB,9,2,,,,,
吞舟是漏,idiom,1,1,NN,9,2,,,,,
吞声饮泣,idiom,1,1,NN,7,2,,,,,
讬公行私,idiom,1,1,NN,7,2,,,,,
拖青纡紫,idiom,1,1,PD,7,1,,,,,
唾手可得,idiom,1,1,PH,9,1,,,,,
挖耳当招,idiom,1,1,NJ,9,2,,,,,
瓦器蚌盘,idiom,1,1,NB,7,2,,,,,
外强中乾,idiom,1,1,NN,7,2,,,,,
外彊中乾,idiom,1,1,NN,7,2,,,,,
剜肉医疮,idiom,1,1,NN,7,2,,,,,
玩时愒日,idiom,1,1,NN,7,2,,,,,
顽廉懦立,idiom,1,1,PH,9,1,,,,,
亡国大夫,idiom,1,1,NN,7,2,,,,,
亡魂失魄,idiom,1,1,NI,9,2,,,,,
枉口拔舌,idiom,1,1,NN,7,2,,,,,
枉物难消,idiom,1,1,NN,7,2,,,,,
枉墨矫绳,idiom,1,1,NN,7,2,,,,,
忘啜废枕,idiom,1,1,PH,7,1,,,,,
望其项背,idiom,1,1,PH,7,1,,,,,
望风希指,idiom,1,1,NN,7,2,,,,,
望尘而拜,idiom,1,1,PD,7,0,,,,,
望影揣情,idiom,1,1,PH,7,1,,,,,
危急存亡,idiom,1,1,NI,9,0,,,,,
微言大谊,idiom,1,1,PH,9,1,,,,,
为非作恶,idiom,1,1,ND,7,2,,,,,
违天害理,idiom,1,1,ND,9,2,,,,,
违条舞法,idiom,1,1,NN,7,2,,,,,
唯妙唯肖,idiom,1,1,PH,9,1,,,,,
帏薄不修,idiom,1,1,NN,9,2,,,,,
惟利是趋,idiom,1,1,NN,9,2,,,,,
委曲求全,idiom,1,1,PH,7,1,,,,,
未知万一,idiom,1,1,NN,9,2,,,,,
位极人臣,idiom,1,1,PD,9,1,,,,,
魏颗结草,idiom,1,1,PH,9,1,,,,,
温凊定省,idiom,1,1,PH,9,1,,,,,
文江学海,idiom,1,1,PH,9,1,,,,,
文采风流,idiom,1,1,PH,9,1,,,,,
文婪武嬉,idiom,1,1,NN,7,2,,,,,
文章钜公,idiom,1,1,PH,9,1,,,,,
文经武略,idiom,1,1,PH,9,1,,,,,
文过遂非,idiom,1,1,NN,7,2,,,,,
闻风而动,idiom,1,1,PH,9,1,,,,,
问一答十,idiom,1,1,PH,9,1,,,,,
问道於盲,idiom,1,1,NN,7,2,,,,,
瓮里醯鸡,idiom,1,1,NN,9,2,,,,,
握风捕影,idiom,1,1,NN,7,2,,,,,
握发吐哺,idiom,1,1,PH,7,1,,,,,
乌衣之游,idiom,1,1,PA,7,1,,,,,
巫云楚雨,idiom,1,1,PA,9,1,,,,,
无人之地,idiom,2,1,NB,7,2,,,,,
无毛大虫,idiom,1,1,ND,7,2,,,,,
无功受禄,idiom,1,1,NN,7,2,,,,,
无可柰何,idiom,1,1,NB,7,2,,,,,
无地可容,idiom,2,2,NE,9,2,,,,,
无名小卒,idiom,2,2,ND,7,2,,,,,
无米之炊,idiom,1,1,NB,7,2,,,,,
无私有弊,idiom,1,1,NB,7,2,,,,,
无明业火,idiom,1,1,NA,7,2,,,,,
无所不备,idiom,1,1,PH,9,1,,,,,
无所畏惮,idiom,1,1,PH,7,1,,,,,
无服之殇,idiom,1,1,NB,7,2,,,,,
无风作浪,idiom,1,1,NN,7,2,,,,,
无洞掘蟹,idiom,1,1,NN,7,2,,,,,
无家无室,idiom,1,1,NB,7,2,,,,,
无偏无陂,idiom,1,1,PH,7,1,,,,,
无情无绪,idiom,1,1,NB,7,2,,,,,
无间可乘,idiom,1,1,PH,7,2,,,,,
丢掉,verb,1,1,PK,5,0,,,,,
冻伤,verb,1,1,NB,7,2,,,,,
毒瘤,noun,1,1,NB,7,2,,,,,
渡江战役,noun,1,1,PH,5,1,,,,,
对得起,noun,1,1,PE,5,0,,,,,
眼晕,noun,1,1,NB,5,2,,,,,
阳间,noun,1,1,PG,5,1,,,,,
老好人,noun,1,1,NN,3,2,,,,,
唠扯,verb,1,1,PE,5,1,,,,,
老实巴交,adj,1,1,PG,5,1,,,,,
雷害,verb,1,1,NB,5,2,,,,,
泪珠,noun,1,1,NB,5,1,,,,,
冷淡,adj,3,2,NN,5,2,,,,,
离婚,verb,1,1,NJ,5,0,,,,,
例行公事,noun,1,1,NN,5,2,,,,,
迫临,adj,1,1,PK,5,0,,,,,
破戒,noun,2,1,NN,5,0,,,,,
掊击,verb,1,1,NA,7,0,,,,,
扑闪,verb,1,1,PK,5,0,,,,,
蒲柳,adj,1,1,PK,5,1,,,,,
七…八…,adj,1,1,NI,7,0,,,,,
嘁哩喀喳,adj,1,1,PH,7,1,,,,,
齐心,adj,1,1,PK,7,0,,,,,
奇闻,noun,1,1,PC,5,0,,,,,
颀长,adj,1,1,PK,7,0,,,,,
企求,verb,1,1,PK,7,0,,,,,
起根,adj,1,1,PK,7,0,,,,,
起誓,noun,1,1,PK,7,1,,,,,
气色,noun,1,1,PK,5,0,,,,,
气质,noun,1,1,PH,5,1,,,,,
契友,noun,1,1,PB,7,1,,,,,
洽商,noun,1,1,PK,5,0,,,,,
千里驹,noun,1,1,PH,6,1,,,,,
牵就,verb,1,1,NN,5,2,,,,,
前锋,noun,1,1,PK,7,0,,,,,
虔婆,noun,1,1,PK,5,0,,,,,
画无人色,idiom,1,1,NC,9,2,,,,,
慌不择路,idiom,1,1,NI,8,2,,,,,
闻雷失箸,idiom,1,1,NI,8,2,,,,,
惊心悼胆,idiom,1,1,NC,8,2,,,,,
恨相知晚,idiom,1,1,PB,6,1,,,,,
双宿双飞,idiom,1,1,PB,7,1,,,,,
眼中钉,idiom,1,1,NA,8,2,,,,,
谢天谢地,idiom,1,1,PD,6,1,,,,,
扣人心弦,idiom,1,1,PD,7,1,,,,,
思同再造,idiom,1,1,PD,7,1,,,,,
一言半语,idiom,1,1,NB,6,0,,,,,
打开天窗说亮话,idiom,1,1,PE,8,1,,,,,
理直气壮,idiom,1,1,PE,8,1,,,,,
轻嘴薄舌,idiom,1,1,NN,7,2,,,,,
谆谆告诫,idiom,1,1,PB,6,1,,,,,
街谈巷议,idiom,1,1,NE,6,0,,,,,
众口铄金,idiom,1,1,NE,7,0,,,,,
哑口无言,idiom,1,1,NL,7,2,,,,,
无可讳言,idiom,1,1,PG,7,1,,,,,
仇人快语,idiom,1,1,PG,7,1,,,,,
指天画他,idiom,1,1,NN,7,2,,,,,
唇枪舌剑,idiom,1,1,NN,6,2,,,,,
话中有话,idiom,1,1,NN,7,2,,,,,
说三道四,idiom,1,1,NN,7,2,,,,,
徒读父书,idiom,1,1,NN,8,2,,,,,
言外之意,idiom,1,1,NN,7,2,,,,,
精金良玉,idiom,1,1,PH,7,1,,,,,
草木知威,idiom,1,1,PH,7,1,,,,,
绝甘分少,idiom,1,1,PH,7,1,,,,,
老骤伏枥,idiom,1,1,PH,6,1,,,,,
迎头赶上,idiom,1,1,PH,8,1,,,,,
大节不夺,idiom,1,1,PH,8,1,,,,,
舍身求法,idiom,1,1,PH,7,1,,,,,
志坚行苦,idiom,1,1,PH,6,1,,,,,
推诚相信,idiom,1,1,PG,8,1,,,,,
功薄蝉翼,idiom,1,1,PH,7,1,,,,,
知之为知之,idiom,1,1,PH,6,1,,,,,
面面相窥,idiom,1,1,NC,4,2,,,,,
面誉背毁,idiom,1,1,NN,5,2,,,,,
民安国泰,idiom,1,1,PE,9,1,,,,,
名不虚立,idiom,1,1,PH,6,1,,,,,
名卿钜公,idiom,1,1,PH,6,1,,,,,
明月清风,idiom,1,1,PE,7,1,,,,,
明抢暗偷,idiom,1,1,NN,6,2,,,,,
命薄缘慳,idiom,1,1,NB,6,2,,,,,
磨形炼性,idiom,1,1,PH,6,1,,,,,
谋图不轨,idiom,1,1,NN,5,2,,,,,
目使颐令,idiom,1,1,NN,7,2,,,,,
目量意营,idiom,1,1,PH,5,1,,,,,
目瞪口歪,idiom,1,1,PC,5,0,,,,,
沐仁浴义,idiom,1,1,PA,6,1,,,,,
拿粗挟细,idiom,1,1,NN,6,2,,,,,
挠腮撧耳,idiom,1,1,NI,6,2,,,,,
能言快说,idiom,1,1,PH,5,1,,,,,
泥古拘方,idiom,1,1,NN,5,2,,,,,
拈酸泼醋,idiom,1,1,NK,5,2,,,,,
鸟声兽心,idiom,1,1,NN,5,2,,,,,
嗫嚅小兒,idiom,1,1,NN,5,2,,,,,
弄鬼妆幺,idiom,1,1,NN,5,2,,,,,
呕心抽肠,idiom,1,1,NB,8,2,,,,,
攀高结贵,idiom,1,1,NN,6,2,,,,,
庖丁解牛,idiom,1,1,PH,5,1,,,,,
权略,noun,1,1,PH,5,0,,,,,
劝和,verb,1,1,PD,5,0,,,,,
却步,verb,1,1,NE,5,2,,,,,
苒弱,noun,1,1,NB,7,0,,,,,
让座,verb,2,1,PD,7,1,,,,,
热乎乎,adj,1,1,PA,3,0,,,,,
人道,noun,3,1,PH,5,1,,,,,
人民战争,noun,1,1,PH,3,0,,,,,
人生观,noun,1,1,PF,3,0,,,,,
人证,noun,1,1,PG,7,0,,,,,
认输,noun,1,1,NJ,5,2,,,,,
任职,noun,1,1,PG,3,0,,,,,
戎首,noun,1,1,ND,5,2,,,,,
容光,adj,1,1,PA,5,1,,,,,
容止,verb,1,1,PH,5,1,,,,,
肉刑,noun,1,1,NC,7,0,,,,,
如许,noun,1,1,PE,3,0,,,,,
入超,noun,1,1,NI,5,0,,,,,
入选,noun,1,1,PA,7,1,,,,,
润笔,noun,1,1,PA,3,0,,,,,
行不副言,idiom,1,1,NN,5,2,,,,,
形孤影只,idiom,1,1,NB,7,1,,,,,
形影相随,idiom,2,1,NB,7,1,,,,,
胸有邱壑,idiom,1,1,PH,7,1,,,,,
朽木不可雕,idiom,1,1,NN,7,2,,,,,
悬灯结彩,idiom,1,1,PA,7,1,,,,,
雪里送炭,idiom,1,1,PH,9,1,,,,,
衙官屈宋,idiom,1,1,PH,7,1,,,,,
言笑自若,idiom,1,1,PH,7,1,,,,,
研精覃思,idiom,1,1,PH,7,1,,,,,
掩耳盗锺,idiom,1,1,NN,7,2,,,,,
燕歌赵舞,idiom,2,2,PH,7,1,,,,,
阳春白雪,idiom,2,2,PH,7,1,,,,,
夭桃襛李,idiom,2,1,PH,7,1,,,,,
野鹤孤云,idiom,1,1,PA,7,1,,,,,
说情,verb,1,1,NN,5,2,,,,,
私访,verb,1,1,PD,5,1,,,,,
松口,verb,2,2,NJ,5,0,,,,,
素淡,adj,1,1,PB,5,1,,,,,
风吹雨打,idiom,2,2,NB,5,0,,,,,
风雨晦暝,idiom,1,1,NB,5,2,,,,,
峰回路转,idiom,2,2,PE,5,0,,,,,
凤吟鸾吹,idiom,1,1,PH,9,1,,,,,
凤翥龙骧,idiom,1,1,PH,9,1,,,,,
凤采鸾章,idiom,1,1,PH,7,1,,,,,
奉令承教,idiom,1,1,PH,7,1,,,,,
佛头着粪,idiom,1,1,ND,5,1,,,,,
肤末支离,idiom,1,1,NN,5,2,,,,,
扶正黜邪,idiom,1,1,PH,9,1,,,,,
扶墙摸壁,idiom,2,2,NN,5,2,,,,,
浮花浪蕊,idiom,3,2,NN,5,2,,,,,
福无双至，祸不单行,idiom,1,1,PH,9,1,,,,,
孚尹明达,idiom,1,1,PH,7,1,,,,,
俯首弭耳,idiom,1,1,PE,9,1,,,,,
黼国黻家,idiom,1,1,PH,7,1,,,,,
负材矜地,idiom,1,1,NN,7,2,,,,,
负气含灵,idiom,1,1,PH,7,1,,,,,
附会穿凿,idiom,1,1,NN,5,2,,,,,
附骥攀鳞,idiom,1,1,NN,7,2,,,,,
腹心之患,idiom,1,1,NE,7,0,,,,,
腹热肠荒,idiom,1,1,NI,7,0,,,,,
改恶为善,idiom,1,1,PH,5,1,,,,,
乾净利落,idiom,1,1,PH,5,1,,,,,
甘旨肥浓,idiom,1,1,PH,7,1,,,,,
肝胆照人,idiom,1,1,PE,9,1,,,,,
感今思昔,idiom,1,1,PF,7,1,,,,,
钢浇铁铸,idiom,1,1,PH,7,1,,,,,
高不凑低不就,idiom,1,1,NE,7,1,,,,,
高材捷足,idiom,2,2,PH,7,1,,,,,
高枕安寝,idiom,1,1,PE,9,1,,,,,
高高在上,idiom,3,3,NN,7,2,,,,,
高节清风,idiom,1,1,PH,9,1,,,,,
高顾遐视,idiom,1,1,PH,9,1,,,,,
割肚牵肠,idiom,1,1,PF,9,1,,,,,
革故立新,idiom,1,1,PH,7,1,,,,,
革旧从新,idiom,1,1,PH,7,1,,,,,
格杀弗论,idiom,1,1,NA,9,0,,,,,
隔壁撺椽,idiom,1,1,NN,5,2,,,,,
根盘蒂结,idiom,1,1,PH,7,1,,,,,
公正不阿,idiom,1,1,PH,7,1,,,,,
公报私仇,idiom,1,1,NN,5,2,,,,,
功成骨枯,idiom,1,1,ND,7,2,,,,,
供不应求,idiom,1,1,PE,7,1,,,,,
拱手听命,idiom,1,1,NN,5,2,,,,,
狗心狗行,idiom,1,1,ND,9,2,,,,,
狗追耗子,idiom,1,1,NN,7,2,,,,,
狗盗鸡鸣,idiom,2,2,NN,7,2,,,,,
狗续貂尾,idiom,2,2,NL,5,2,,,,,
铁幕,noun,1,1,ND,5,2,,,,,
听信,verb,1,1,NN,5,2,,,,,
偷袭,verb,1,1,NN,7,2,,,,,
头难,adj,1,1,NI,7,2,,,,,
图谋,verb,2,1,ND,7,2,,,,,
土狗子,noun,1,1,NC,5,2,,,,,
推进,verb,1,1,PG,7,1,,,,,
推选,verb,1,1,PG,9,1,,,,,
权谋,noun,1,1,PH,5,0,,,,,
劝化,verb,2,1,PD,5,0,,,,,
确守,verb,1,1,PH,7,1,,,,,
染病,noun,1,1,NE,7,0,,,,,
饶命,verb,1,1,NI,9,0,,,,,
热呼,adj,1,1,PA,3,0,,,,,
人道主义,noun,1,1,PH,3,1,,,,,
人民政府,noun,1,1,PG,7,0,,,,,
人生哲学,noun,1,1,PF,3,0,,,,,
人治,noun,1,1,PH,5,1,,,,,
认帐,noun,1,1,NG,7,1,,,,,
纫佩,noun,1,1,PH,7,1,,,,,
戎行,noun,1,1,PF,3,0,,,,,
容克地主,noun,1,1,ND,5,2,,,,,
冗官,noun,1,1,NN,5,1,,,,,
肉中刺,noun,1,1,NA,7,2,,,,,
儒家,noun,1,1,PD,5,0,,,,,
入定,noun,1,1,PD,5,1,,,,,
软化,noun,3,2,NL,3,0,,,,,
润格,noun,1,1,PE,3,0,,,,,
私娼,noun,1,1,ND,5,2,,,,,
私情,noun,1,1,ND,5,2,,,,,
思乡,verb,1,1,PB,5,1,,,,,
诉苦,verb,1,1,NE,5,2,,,,,
太平,verb,1,1,PE,5,1,,,,,
行不苟合,idiom,1,1,PH,7,1,,,,,
行若狗彘,idiom,1,1,NN,7,2,,,,,
形影相对,idiom,1,1,NB,7,1,,,,,
胸有成算,idiom,1,1,PG,5,1,,,,,
休戚与共,idiom,1,1,PG,7,1,,,,,
雪窗萤火,idiom,1,1,PH,7,1,,,,,
牙签锦轴,idiom,1,1,PH,7,1,,,,,
言芳行洁,idiom,1,1,PH,7,1,,,,,
研精毕智,idiom,1,1,PH,9,1,,,,,
掩耳偷铃,idiom,1,1,NN,7,2,,,,,
